Date,Open,High,Low,Close,Volume,Dividend
2019-12-06,314.64,316.34,312.06,316.05,1693700,0.0
2019-12-09,316.0,317.15,313.94,314.38,2469400,0.0
2019-12-10,315.1,315.91,313.25,315.06,1456300,0.0
2019-12-11,315.18,321.35,315.18,319.72,2082900,0.0
2019-12-12,319.73,330.16,319.43,327.8,3893500,0.0
2019-12-13,318.06,319.77,310.62,315.42,7095200,0.0
2019-12-16,317.97,327.6,317.53,323.13,3792100,0.0
2019-12-17,323.74,324.95,321.75,323.8,2024800,0.0
2019-12-18,324.4,331.2,323.55,327.44,3515500,0.0
2019-12-19,329.21,329.26,323.71,324.1,3178700,0.0
2019-12-20,322.47,322.47,316.91,319.0,5054000,3.25
2019-12-23,320.54,322.33,317.61,319.53,2025400,0.0
2019-12-24,320.0,320.68,319.01,320.5,702400,0.0
2019-12-26,321.27,321.74,316.82,317.98,1584800,0.0
2019-12-27,319.3,319.35,315.22,316.53,1448700,0.0
2019-12-30,316.52,317.33,312.75,313.46,1310400,0.0
2019-12-31,313.12,316.36,312.8,316.02,1248700,0.0
2020-01-02,319.32,322.5,317.32,322.39,2032900,0.0
2020-01-03,317.51,320.0,314.08,314.19,2287000,0.0
2020-01-06,310.85,313.92,309.63,313.72,2078900,0.0
2020-01-07,315.25,316.58,312.25,312.64,1856500,0.0
2020-01-08,312.98,313.49,308.41,308.74,3197900,0.0
2020-01-09,312.32,312.99,303.05,306.26,4239700,0.0
2020-01-10,305.45,305.55,298.8,299.22,4070500,0.0
2020-01-13,300.02,303.8,299.67,301.18,2205400,0.0
2020-01-14,302.0,309.15,301.59,308.18,2891100,0.0
2020-01-15,307.31,307.88,300.7,303.14,2273300,0.0
2020-01-16,305.0,307.86,304.21,307.05,2150800,0.0
2020-01-17,308.66,308.94,304.07,308.79,2689600,0.0
2020-01-21,307.8,309.51,306.33,308.07,2196700,0.0
2020-01-22,310.8,317.92,310.5,312.97,2926400,0.0
2020-01-23,315.18,319.8,310.82,319.65,3026600,0.0
2020-01-24,330.5,331.58,320.77,324.0,5578200,0.0
2020-01-27,316.41,319.88,308.64,309.03,3884300,0.0
2020-01-28,313.53,319.23,312.77,318.31,2316600,0.0
2020-01-29,320.82,325.43,317.14,317.51,2366800,0.0
2020-01-30,314.32,315.52,308.59,315.2,2112800,0.0
2020-01-31,314.16,314.58,303.62,305.16,2212300,0.0
2020-02-03,305.63,306.6,303.64,305.23,2128800,0.0
2020-02-04,311.79,314.57,309.65,311.6,2255900,0.0
2020-02-05,317.5,319.81,315.86,317.38,2482500,0.0
2020-02-06,318.84,319.88,314.23,319.69,2268300,0.0
2020-02-07,318.32,318.52,314.87,315.23,1588300,0.0
2020-02-10,312.37,314.6,310.3,314.2,1921800,0.0
2020-02-11,316.65,320.79,316.01,320.16,1552700,0.0
2020-02-12,322.04,325.09,321.63,324.7,1531000,0.0
2020-02-13,321.48,325.46,320.95,323.97,1385700,0.0
2020-02-14,324.84,325.7,317.1,317.77,1913700,0.0
2020-02-18,315.0,315.01,308.05,310.75,2669300,0.0
2020-02-19,313.0,316.83,311.7,315.69,2052500,0.0
2020-02-20,313.96,315.69,306.12,309.24,2552100,0.0
2020-02-21,308.5,309.45,302.29,304.5,2452200,0.0
2020-02-24,294.2,298.8,290.06,291.6,3684900,0.0
2020-02-25,294.11,295.73,281.07,282.68,3189200,0.0
2020-02-26,284.35,288.2,284.0,285.88,2307400,0.0
2020-02-27,280.3,285.31,273.54,273.95,3483700,0.0
2020-02-28,263.33,274.13,262.74,272.62,4460400,0.0
2020-03-02,276.76,285.4,271.15,284.97,3197600,0.0
2020-03-03,284.65,288.48,271.57,274.25,2993000,0.0
2020-03-04,277.54,285.72,274.77,285.45,2347700,0.0
2020-03-05,277.26,283.09,272.45,274.04,2437400,0.0
2020-03-06,266.98,270.93,262.5,269.45,3016900,0.0
2020-03-09,251.08,260.27,244.25,247.72,4393400,0.0
2020-03-10,256.59,263.68,243.4,262.9,5507100,0.0
2020-03-11,253.88,256.49,242.49,245.97,3603000,0.0
2020-03-12,226.99,242.76,216.32,218.78,6428100,0.0
2020-03-13,225.51,234.47,201.16,234.22,8471400,0.0
2020-03-16,208.18,218.8,180.23,187.58,7693500,0.0
2020-03-17,191.82,200.01,181.48,199.51,7066200,0.0
2020-03-18,185.66,187.48,155.67,167.87,9899300,0.0
2020-03-19,167.64,207.47,165.0,194.45,7443800,0.0
2020-03-20,202.0,208.68,187.91,192.22,7404400,3.25
2020-03-23,192.88,195.97,177.75,193.47,4692100,0.0
2020-03-24,205.64,218.71,201.29,212.76,6297000,0.0
2020-03-25,212.19,244.0,209.22,217.55,6444200,0.0
2020-03-26,226.03,244.8,226.03,243.17,6021300,0.0
2020-03-27,233.0,242.09,230.0,230.69,3944800,0.0
2020-03-30,232.2,241.36,228.44,240.11,5234300,0.0
2020-03-31,238.0,252.71,236.06,237.1,5019100,0.0
2020-04-01,227.99,234.41,219.68,223.63,4185800,0.0
2020-04-02,222.4,237.95,221.45,237.06,4504900,0.0
2020-04-03,236.64,242.55,230.55,234.26,2896000,0.0
2020-04-06,244.58,253.41,243.56,252.44,3886800,0.0
2020-04-07,261.84,265.5,252.53,253.27,4589200,0.0
2020-04-08,256.77,262.2,253.64,261.1,2756500,0.0
2020-04-09,265.79,267.5,251.31,254.3,3482800,0.0
2020-04-13,253.5,261.52,252.8,259.92,2572900,0.0
2020-04-14,266.12,268.38,262.32,267.63,2309400,0.0
2020-04-15,261.0,262.32,256.16,257.44,2592600,0.0
2020-04-16,261.76,261.76,254.11,258.29,2689600,0.0
2020-04-17,263.22,267.43,258.94,265.88,3408900,0.0
2020-04-20,260.0,265.26,257.91,258.28,2380100,0.0
2020-04-21,254.56,254.79,246.8,247.65,2913800,0.0
2020-04-22,254.77,262.22,250.74,259.97,3543800,0.0
2020-04-23,260.25,265.2,258.52,258.93,2165900,0.0
2020-04-24,259.81,265.07,258.88,264.81,2342500,0.0
2020-04-27,264.35,271.22,264.35,268.45,1658800,0.0
2020-04-28,274.24,276.41,264.12,264.73,1898800,0.0
2020-04-29,271.08,276.99,269.23,276.02,2887100,0.0
2020-04-30,273.53,274.05,268.8,271.62,2337900,0.0
2020-05-01,266.0,267.85,258.2,259.7,2683600,0.0
2020-05-04,259.21,262.43,255.32,262.26,1704600,0.0
2020-05-05,266.55,268.94,263.71,264.87,2646200,0.0
2020-05-06,268.33,270.48,263.62,264.18,2272700,0.0
2020-05-07,270.0,270.47,266.0,267.75,1823800,0.0
2020-05-08,272.2,275.55,270.03,275.03,1676700,0.0
2020-05-11,273.37,276.74,271.75,275.4,2085100,0.0
2020-05-12,276.58,277.72,268.22,268.45,1876400,0.0
2020-05-13,270.07,270.33,259.36,263.15,2192700,0.0
2020-05-14,260.96,266.95,254.75,266.6,1991200,0.0
2020-05-15,259.42,264.06,256.77,260.41,2165000,0.0
2020-05-18,268.62,276.73,268.0,273.53,2653700,0.0
2020-05-19,273.53,276.03,271.61,271.95,1870200,0.0
2020-05-20,276.97,281.31,276.08,278.68,1860500,0.0
2020-05-21,278.92,279.5,274.65,274.8,1484700,0.0
2020-05-22,273.74,277.25,270.51,276.65,1745200,0.0
2020-05-26,285.0,287.09,281.39,282.02,2357300,0.0
2020-05-27,283.02,287.8,280.0,287.59,2281200,0.0
2020-05-28,285.0,289.3,282.43,283.14,1854300,0.0
2020-05-29,282.9,292.0,281.91,291.27,2732400,0.0
2020-06-01,290.42,291.1,287.37,289.99,1844400,0.0
2020-06-02,291.03,298.32,290.09,298.06,3184700,0.0
2020-06-03,301.05,310.85,300.51,309.53,3192600,0.0
2020-06-04,305.75,313.0,302.1,308.89,3499700,0.0
2020-06-05,319.7,328.11,315.09,317.08,5095800,0.0
2020-06-08,317.5,318.84,313.36,317.52,2391600,0.0
2020-06-09,312.0,318.88,311.57,315.32,2233500,0.0
2020-06-10,316.65,319.21,314.7,315.04,2591400,0.0
2020-06-11,307.62,308.55,293.4,293.75,4511500,0.0
2020-06-12,302.82,303.95,292.73,300.25,3942500,0.0
2020-06-15,295.0,306.75,292.41,304.09,2982400,0.0
2020-06-16,310.0,314.55,304.0,310.72,3038700,0.0
2020-06-17,313.42,316.71,311.79,313.44,2026600,0.0
2020-06-18,312.12,319.12,311.52,318.71,3362500,0.0
2020-06-19,317.68,318.1,302.77,302.77,5846500,3.25
2020-06-22,305.5,314.18,303.53,313.54,2719500,0.0
2020-06-23,315.06,317.44,311.29,311.3,2241900,0.0
2020-06-24,309.2,310.97,304.51,306.97,1909600,0.0
2020-06-25,306.06,309.48,303.0,308.85,1502900,0.0
2020-06-26,313.57,315.78,303.15,307.41,3142500,0.0
2020-06-29,308.07,310.41,304.45,309.78,1451600,0.0
2020-06-30,309.95,317.07,306.75,315.61,2512500,0.0
2020-07-01,315.11,316.85,311.94,312.73,1566100,0.0
2020-07-02,317.75,319.38,314.66,315.47,1663800,0.0
2020-07-06,320.0,320.99,317.34,318.79,1756100,0.0
2020-07-07,317.34,318.16,312.55,313.12,1615000,0.0
2020-07-08,316.14,319.84,314.12,319.57,1802300,0.0
2020-07-09,320.01,324.33,315.25,321.5,2522500,0.0
2020-07-10,321.91,322.99,315.44,319.44,1328000,0.0
2020-07-13,321.68,323.53,310.58,311.31,2154900,0.0
2020-07-14,308.99,316.22,305.19,315.08,1836300,0.0
2020-07-15,315.95,317.77,310.17,313.78,1525300,0.0
2020-07-16,310.61,313.88,309.3,311.34,1292900,0.0
2020-07-17,314.15,315.21,310.0,312.71,1335400,0.0
2020-07-20,311.85,317.65,310.26,317.13,1432300,0.0
2020-07-21,319.23,319.23,312.67,314.34,1434800,0.0
2020-07-22,315.01,315.68,310.37,313.8,1440400,0.0
2020-07-23,313.37,316.09,308.38,309.67,1941700,0.0
2020-07-24,306.59,310.91,304.18,305.79,1563100,0.0
2020-07-27,308.3,312.96,307.49,312.68,2064600,0.0
2020-07-28,311.18,312.11,306.16,307.35,1397400,0.0
2020-07-29,308.53,311.23,307.44,308.85,1656200,0.0
2020-07-30,306.0,312.93,306.0,312.1,2125900,0.0
2020-07-31,314.7,318.4,311.4,316.75,2471900,0.0
2020-08-03,318.0,323.49,317.28,321.23,2079600,0.0
2020-08-04,320.5,328.59,320.39,328.39,2525800,0.0
2020-08-05,328.25,331.58,325.8,329.54,2229900,0.0
2020-08-06,327.77,330.88,325.41,329.16,1419300,0.0
2020-08-07,328.39,329.73,321.48,325.93,1419200,0.0
2020-08-10,324.22,329.27,324.06,327.36,1198900,0.0
2020-08-11,327.57,333.32,322.76,324.03,1931600,0.0
2020-08-12,325.85,335.88,325.36,333.64,1847600,0.0
2020-08-13,332.21,333.41,327.85,329.42,1509500,0.0
2020-08-14,328.02,329.85,326.0,327.82,1014000,0.0
2020-08-17,329.51,331.79,329.0,330.32,1059400,0.0
2020-08-18,331.86,333.18,328.14,328.64,885700,0.0
2020-08-19,329.47,333.09,328.24,329.21,1127300,0.0
2020-08-20,327.69,329.99,326.06,328.83,891000,0.0
2020-08-21,328.3,330.46,325.0,330.02,1150800,0.0
2020-08-24,332.01,336.19,331.14,334.0,1199600,0.0
2020-08-25,335.0,337.09,333.0,336.14,1114000,0.0
2020-08-26,334.74,341.51,333.51,339.67,1484400,0.0
2020-08-27,340.49,341.3,336.14,339.14,1255200,0.0
2020-08-28,339.0,344.82,337.7,344.82,1458900,0.0
2020-08-31,343.52,350.58,343.52,347.15,2222900,0.0
2020-09-01,350.0,362.07,347.42,359.54,2925900,0.0
2020-09-02,365.86,378.96,363.57,375.01,3705300,0.0
2020-09-03,366.01,368.9,350.16,352.09,4179500,0.0
2020-09-04,360.97,372.53,353.5,362.95,5851400,0.0
2020-09-08,352.66,362.75,350.0,350.54,2668500,0.0
2020-09-09,356.16,361.85,351.1,360.03,2627300,0.0
2020-09-10,362.13,367.83,354.39,357.08,2285100,0.0
2020-09-11,360.5,364.27,354.68,359.7,1736200,0.0
2020-09-14,364.41,365.89,359.35,362.2,1644700,0.0
2020-09-15,366.3,371.12,365.35,366.91,1661800,0.0
2020-09-16,368.18,372.0,366.35,367.04,1849800,0.0
2020-09-17,355.0,370.12,355.0,365.92,2286200,0.0
2020-09-18,367.12,367.84,355.05,359.73,3529500,0.0
2020-09-21,350.01,351.96,343.48,351.79,2419800,3.25
2020-09-22,356.37,361.8,352.95,361.59,1950000,0.0
2020-09-23,360.18,361.21,350.05,351.59,1554200,0.0
2020-09-24,350.2,357.57,349.09,352.52,1361100,0.0
2020-09-25,352.05,357.72,348.28,356.8,1818300,0.0
2020-09-28,361.68,368.43,359.03,367.3,2219200,0.0
2020-09-29,367.49,370.8,363.99,364.26,1372200,0.0
2020-09-30,362.95,371.0,361.71,364.32,2239600,0.0
2020-10-01,368.98,370.71,364.82,368.6,1601600,0.0
2020-10-02,360.0,364.92,356.15,356.83,1710000,0.0
2020-10-05,360.84,366.85,359.9,366.1,1892300,0.0
2020-10-06,366.11,372.0,362.02,363.98,1667200,0.0
2020-10-07,368.35,369.86,366.06,366.74,1274700,0.0
2020-10-08,369.89,374.29,368.31,373.33,1704500,0.0
2020-10-09,375.93,380.0,374.0,376.7,1725300,0.0
2020-10-12,381.79,385.1,379.79,382.43,1883900,0.0
2020-10-13,384.41,387.8,378.61,381.49,1673100,0.0
