Date,Open,High,Low,Close,Volume,Dividend
2019-07-16,166.67,168.17,164.84,167.08,8536100,0.0
2019-07-17,167.15,169.99,165.97,169.71,8705100,0.0
2019-07-18,170.13,172.71,167.85,170.18,11079500,0.0
2019-07-19,171.72,171.98,168.2,168.44,8622400,0.0
2019-07-22,169.3,171.84,169.0,171.32,7898500,0.0
2019-07-23,172.9,175.74,172.27,175.66,10704400,0.0
2019-07-24,177.4,178.89,174.34,178.66,9155900,0.0
2019-07-25,176.99,177.5,172.44,173.38,9817500,0.0
2019-07-26,174.47,176.95,174.47,175.07,6854000,0.0
2019-07-29,174.78,175.47,171.27,174.82,6204000,0.0
2019-07-30,172.95,175.94,172.37,175.45,4944300,0.0
2019-07-31,174.18,174.22,167.02,168.72,8985400,0.0
2019-08-01,169.14,172.78,162.82,164.92,10530300,0.0
2019-08-02,161.19,163.98,159.28,161.19,10708700,0.0
2019-08-05,153.8,153.85,148.9,150.79,14728900,0.0
2019-08-06,153.8,155.63,150.43,152.35,9031800,0.0
2019-08-07,149.9,154.37,149.2,153.89,9314000,0.0
2019-08-08,156.21,158.31,153.9,158.26,7732500,0.0
2019-08-09,156.61,156.75,152.15,154.18,8545400,0.0
2019-08-12,152.08,154.18,150.57,151.45,6980000,0.0
2019-08-13,151.39,157.9,149.82,156.05,8798900,0.0
2019-08-14,152.5,152.95,148.31,150.07,10497000,0.0
2019-08-15,150.83,151.63,147.39,148.77,11930000,0.0
2019-08-16,159.35,161.54,156.88,159.56,25199000,0.0
2019-08-19,164.12,171.42,163.47,170.78,20377800,0.0
2019-08-20,170.56,170.58,167.02,167.87,11579700,0.0
2019-08-21,170.53,173.45,169.66,171.23,10681100,0.0
2019-08-22,171.62,173.33,169.9,171.48,7587200,0.0
2019-08-23,168.4,170.59,161.64,162.44,14201400,0.0
2019-08-26,165.61,166.58,163.91,165.45,7955200,0.0
2019-08-27,166.99,167.1,160.62,161.8,7274200,0.0
2019-08-28,160.58,163.34,159.0,161.22,6390300,0.16
2019-08-29,164.9,168.3,164.76,167.0,8949400,0.0
2019-08-30,168.86,170.86,166.78,167.51,7265400,0.0
2019-09-03,164.58,165.91,163.25,164.17,7403500,0.0
2019-09-04,166.61,169.06,166.61,168.76,5693200,0.0
2019-09-05,172.87,179.99,172.8,179.74,17391900,0.0
2019-09-06,178.8,181.09,177.12,178.65,9424400,0.0
2019-09-09,179.9,183.98,179.84,180.5,10438100,0.0
2019-09-10,179.18,184.25,178.79,183.18,8820300,0.0
2019-09-11,183.77,186.27,182.6,184.33,9037800,0.0
2019-09-12,186.2,188.4,183.95,184.27,8196000,0.0
2019-09-13,181.59,183.08,180.18,181.94,8114800,0.0
2019-09-16,178.92,181.6,178.5,180.21,5795800,0.0
2019-09-17,180.48,181.24,178.61,181.07,5576200,0.0
2019-09-18,180.79,181.42,176.5,179.98,6453800,0.0
2019-09-19,180.22,180.96,176.51,176.94,6136900,0.0
2019-09-20,176.9,177.85,172.28,172.69,8756100,0.0
2019-09-23,172.7,176.67,172.55,174.84,6242800,0.0
2019-09-24,176.1,177.29,171.1,172.53,7931700,0.0
2019-09-25,172.51,179.02,170.71,178.23,7710800,0.0
2019-09-26,177.84,178.19,175.29,177.34,5864100,0.0
2019-09-27,175.66,177.7,169.32,171.76,9051400,0.0
2019-09-30,172.8,174.48,171.54,174.07,4654600,0.0
2019-10-01,175.0,181.0,173.81,174.0,9150200,0.0
2019-10-02,173.12,173.6,170.13,173.04,7334300,0.0
2019-10-03,173.22,181.56,172.0,181.31,11264700,0.0
2019-10-04,181.4,183.15,178.78,181.97,6638100,0.0
2019-10-07,184.58,188.34,184.23,184.33,12024600,0.0
2019-10-08,180.64,180.64,176.5,177.23,11110900,0.0
2019-10-09,180.32,182.7,179.16,180.71,7310300,0.0
2019-10-10,180.62,185.08,180.41,183.03,7728100,0.0
2019-10-11,186.41,189.34,185.65,185.99,11160100,0.0
2019-10-14,185.64,187.37,184.39,186.53,5001000,0.0
2019-10-15,190.16,199.29,189.6,196.37,16603100,0.0
2019-10-16,195.0,199.22,193.75,194.21,10723600,0.0
2019-10-17,196.0,197.81,192.1,194.29,6585900,0.0
2019-10-18,194.31,195.62,187.5,190.49,7686000,0.0
2019-10-21,192.96,196.55,192.2,196.01,6546700,0.0
2019-10-22,198.3,202.53,195.3,195.61,8218000,0.0
2019-10-23,192.31,195.66,191.03,195.09,6997900,0.0
2019-10-24,196.75,198.21,195.38,196.86,5800500,0.0
2019-10-25,200.1,205.38,199.79,204.54,10577300,0.0
2019-10-28,206.3,208.9,205.12,206.79,8269800,0.0
2019-10-29,206.23,206.49,202.14,202.92,5280900,0.0
2019-10-30,204.0,204.23,200.26,203.0,5149000,0.0
2019-10-31,202.16,203.0,197.81,201.02,5243300,0.0
2019-11-01,199.6,203.89,198.59,202.59,7091000,0.0
2019-11-04,205.85,211.0,204.92,210.5,9417900,0.0
2019-11-05,210.49,211.54,207.68,209.61,7521700,0.0
2019-11-06,208.64,209.67,204.11,207.63,6725300,0.0
2019-11-07,211.11,211.7,206.54,208.34,7008500,0.0
2019-11-08,207.66,209.05,206.15,207.78,4727500,0.0
2019-11-11,207.75,209.11,204.28,208.18,6085900,0.0
2019-11-12,209.72,211.86,208.31,209.61,7087600,0.0
2019-11-13,208.35,209.46,205.9,208.57,7504700,0.0
2019-11-14,208.93,209.88,206.52,209.79,12952000,0.0
2019-11-15,209.7,211.78,200.64,204.19,26340700,0.0
2019-11-18,203.89,213.35,203.77,212.28,14364700,0.0
2019-11-19,211.03,211.98,205.65,207.99,10364100,0.0
2019-11-20,207.07,214.55,206.56,211.18,11814700,0.0
2019-11-21,211.0,213.24,209.31,210.18,7209700,0.0
2019-11-22,211.09,212.96,209.94,210.89,5602500,0.0
2019-11-25,216.04,221.41,215.52,221.21,12661900,0.0
2019-11-26,220.5,220.69,216.74,217.0,9631100,0.0
2019-11-27,218.67,220.05,217.18,218.24,5394600,0.16
2019-11-29,217.0,218.14,215.78,216.74,3538900,0.0
2019-12-02,216.46,217.0,208.64,209.25,9300900,0.0
2019-12-03,201.87,207.82,200.37,207.66,11630800,0.0
2019-12-04,211.02,211.92,208.27,209.42,6835600,0.0
2019-12-05,210.3,210.93,207.51,208.74,4622100,0.0
2019-12-06,211.52,213.49,211.12,212.17,5805900,0.0
2019-12-09,211.25,214.37,210.9,212.17,5297000,0.0
2019-12-10,213.38,216.06,211.26,213.98,6409700,0.0
2019-12-11,214.4,217.56,214.3,217.34,5844900,0.0
2019-12-12,216.18,224.8,215.82,224.07,10108700,0.0
2019-12-13,224.19,228.98,221.82,223.99,11367600,0.0
2019-12-16,225.9,228.06,224.77,225.15,8024400,0.0
2019-12-17,225.9,229.2,225.52,228.29,8029900,0.0
2019-12-18,229.69,231.94,229.35,229.51,8588700,0.0
2019-12-19,230.9,236.0,230.7,235.46,11134000,0.0
2019-12-20,238.13,240.39,237.36,239.37,15076100,0.0
2019-12-23,240.52,241.81,238.39,238.82,8876500,0.0
2019-12-24,238.2,239.31,236.82,238.62,3471600,0.0
2019-12-26,238.76,240.32,238.0,239.19,4571300,0.0
2019-12-27,239.8,240.34,235.81,236.87,6366100,0.0
2019-12-30,235.99,236.2,231.06,232.32,6451400,0.0
2019-12-31,230.9,235.68,230.13,235.3,5775100,0.0
2020-01-02,238.75,239.91,236.72,239.91,5938400,0.0
2020-01-03,235.1,237.83,234.1,236.07,5134600,0.0
2020-01-06,232.32,237.27,231.27,237.06,6565900,0.0
2020-01-07,238.2,241.77,236.39,239.93,7871400,0.0
2020-01-08,239.76,242.04,238.15,240.38,6927700,0.0
2020-01-09,243.85,245.93,240.86,243.02,6377800,0.0
2020-01-10,247.33,248.55,243.75,244.32,7907400,0.0
2020-01-13,247.66,252.99,246.75,251.98,7996000,0.0
2020-01-14,250.26,251.28,246.75,247.28,8977200,0.0
2020-01-15,247.79,248.69,244.53,245.57,6577600,0.0
2020-01-16,247.72,249.17,246.78,248.93,7104800,0.0
2020-01-17,249.7,250.0,247.37,249.28,6344800,0.0
2020-01-21,247.81,249.29,246.57,247.94,5447900,0.0
2020-01-22,249.76,253.59,249.0,250.11,5981000,0.0
2020-01-23,251.72,253.2,248.15,252.86,6112900,0.0
2020-01-24,257.5,259.5,248.3,250.48,9337800,0.0
2020-01-27,238.24,242.25,232.23,240.2,11763400,0.0
2020-01-28,242.85,249.27,240.71,247.97,7774400,0.0
2020-01-29,247.39,248.84,243.94,245.54,6471200,0.0
2020-01-30,241.61,246.35,239.4,245.81,7262600,0.0
2020-01-31,243.97,244.45,234.75,236.43,9260500,0.0
2020-02-03,235.7,241.11,235.45,240.33,6398200,0.0
2020-02-04,246.03,247.9,244.02,247.13,6788600,0.0
2020-02-05,251.99,252.4,247.41,250.76,5205500,0.0
2020-02-06,252.14,254.25,248.88,254.25,5457100,0.0
2020-02-07,252.64,253.53,250.57,251.59,4743800,0.0
2020-02-10,252.5,263.0,252.3,262.97,13240200,0.0
2020-02-11,267.32,272.5,264.83,267.89,15963900,0.0
2020-02-12,270.01,272.8,268.45,272.54,9366100,0.0
2020-02-13,270.21,273.48,269.11,270.78,13200400,0.0
2020-02-14,287.26,294.97,286.0,289.79,26048100,0.0
2020-02-18,285.64,297.31,284.86,296.57,15504100,0.0
2020-02-19,301.49,315.41,301.49,314.7,17358300,0.0
2020-02-20,312.77,316.32,296.35,308.7,20251300,0.0
2020-02-21,304.19,305.2,290.66,294.07,19204500,0.0
2020-02-24,270.19,281.87,268.0,273.28,21422900,0.0
2020-02-25,276.3,278.79,257.96,262.05,26387400,0.0
2020-02-26,262.06,275.45,262.0,267.65,18693300,0.0
2020-02-27,254.9,267.0,248.89,252.6,22660400,0.16
2020-02-28,242.46,272.46,241.79,270.07,28366900,0.0
2020-03-02,276.9,277.59,261.0,276.43,22268600,0.0
2020-03-03,278.67,281.07,262.46,265.89,16319800,0.0
2020-03-04,270.2,284.89,267.2,284.51,14935200,0.0
2020-03-05,276.5,283.2,271.5,273.29,13508200,0.0
2020-03-06,266.08,268.39,258.0,266.04,12885300,0.0
2020-03-09,239.9,259.4,238.18,245.44,15354000,0.0
2020-03-10,256.54,261.08,245.99,261.08,14516200,0.0
2020-03-11,255.46,256.6,242.57,246.47,12499100,0.0
2020-03-12,225.46,236.12,215.8,216.31,20413500,0.0
2020-03-13,230.5,241.02,219.61,240.84,15870900,0.0
2020-03-16,212.41,226.1,194.0,196.4,18174300,0.0
2020-03-17,200.91,220.86,191.0,217.27,20840800,0.0
2020-03-18,200.1,209.94,180.68,202.82,21856700,0.0
2020-03-19,201.96,216.73,193.39,212.97,19137800,0.0
2020-03-20,219.0,230.32,205.13,205.75,20115900,0.0
2020-03-23,205.71,216.48,198.52,212.69,16096900,0.0
2020-03-24,229.0,252.66,228.05,249.18,27541100,0.0
2020-03-25,253.8,261.82,243.66,245.62,19835800,0.0
2020-03-26,253.94,262.22,250.0,257.24,17402700,0.0
2020-03-27,250.0,263.12,248.68,252.73,15970700,0.0
2020-03-30,255.36,265.96,253.59,265.59,15056300,0.0
2020-03-31,267.2,275.4,257.75,263.6,23749000,0.0
2020-04-01,255.65,261.53,241.28,243.07,16422800,0.0
2020-04-02,244.24,256.0,242.31,255.47,16894100,0.0
2020-04-03,253.96,255.63,238.39,243.91,16580300,0.0
2020-04-06,255.24,269.88,252.93,268.4,18197100,0.0
2020-04-07,277.3,278.25,257.3,259.03,19613000,0.0
2020-04-08,263.41,267.95,260.6,266.95,13561100,0.0
2020-04-09,272.0,272.92,260.42,262.95,13156200,0.0
2020-04-13,260.55,270.2,257.0,269.85,9960200,0.0
2020-04-14,275.0,285.32,273.89,283.95,13273700,0.0
2020-04-15,277.2,284.17,275.38,280.84,9153700,0.0
2020-04-16,287.08,299.0,286.55,294.7,18640500,0.0
2020-04-17,298.0,298.86,286.94,292.32,13478000,0.0
2020-04-20,287.24,293.5,285.27,287.05,11234700,0.0
2020-04-21,282.31,284.77,267.11,269.51,18379000,0.0
2020-04-22,277.23,287.87,275.4,286.15,12118200,0.0
2020-04-23,287.84,293.14,283.0,284.01,10604000,0.0
2020-04-24,283.6,289.67,280.6,289.59,8816100,0.0
2020-04-27,294.99,303.5,294.0,297.08,11984700,0.0
2020-04-28,303.0,304.2,291.14,291.36,11072600,0.0
2020-04-29,296.77,300.58,293.75,298.46,9479000,0.0
2020-04-30,296.29,298.46,291.72,292.28,9397900,0.0
2020-05-01,284.35,288.9,280.84,282.78,8552400,0.0
2020-05-04,280.88,291.84,280.88,291.29,7938900,0.0
2020-05-05,295.47,300.27,291.29,293.74,9222400,0.0
2020-05-06,296.93,302.0,295.41,297.79,8086600,0.0
2020-05-07,303.38,307.41,301.32,304.87,9343300,0.0
2020-05-08,307.75,312.75,306.39,312.5,8497700,0.0
2020-05-11,312.3,324.5,311.15,322.62,11726500,0.0
2020-05-12,324.94,326.9,311.71,312.1,12326500,0.0
2020-05-13,316.7,323.14,303.79,311.2,15646300,0.0
2020-05-14,313.67,321.44,307.5,321.22,15057800,0.0
2020-05-15,315.59,340.02,314.96,339.63,24668500,0.0
2020-05-18,350.42,356.66,347.22,350.01,19410100,0.0
2020-05-19,351.61,363.5,350.51,352.22,17933000,0.0
2020-05-20,359.64,361.72,355.55,358.8,14688400,0.0
2020-05-21,362.06,362.1,349.5,351.01,19026700,0.0
2020-05-22,353.01,363.72,348.53,361.05,25969100,0.0
2020-05-26,366.27,367.27,346.88,348.71,19269500,0.0
2020-05-27,345.0,345.31,319.87,341.01,29397300,0.0
2020-05-28,336.49,350.42,335.17,339.48,18372400,0.0
2020-05-29,342.18,355.02,339.4,355.02,18648000,0.0
2020-06-01,353.33,353.63,347.58,352.25,9746900,0.0
2020-06-02,351.85,353.49,346.32,353.01,9783000,0.0
2020-06-03,352.89,354.65,348.0,350.78,9136000,0.0
2020-06-04,349.12,357.73,347.1,350.66,10607000,0.16
2020-06-05,351.78,359.88,348.32,356.8,12043700,0.0
2020-06-08,355.09,355.59,347.43,352.2,9693400,0.0
2020-06-09,352.0,364.39,350.05,361.84,11712200,0.0
2020-06-10,366.71,380.0,366.14,374.67,15804500,0.0
2020-06-11,366.0,370.45,351.44,351.85,14591300,0.0
2020-06-12,366.5,367.49,348.13,357.3,14252900,0.0
2020-06-15,352.61,367.29,349.75,366.95,10000100,0.0
2020-06-16,369.0,370.67,353.55,362.74,13392900,0.0
2020-06-17,364.55,371.96,362.81,369.44,10188300,0.0
2020-06-18,369.08,371.3,364.58,368.72,6360200,0.0
2020-06-19,369.7,377.8,369.09,370.45,13104000,0.0
2020-06-22,372.0,381.25,370.93,381.07,9961700,0.0
2020-06-23,382.04,385.7,376.3,378.0,9377700,0.0
2020-06-24,379.05,382.26,365.78,369.42,11234300,0.0
2020-06-25,374.23,380.2,367.29,379.6,9401800,0.0
2020-06-26,380.0,380.0,365.0,366.2,14802100,0.0
2020-06-29,366.79,368.18,356.0,368.0,8556200,0.0
2020-06-30,372.56,381.05,370.66,379.91,9197300,0.0
2020-07-01,380.83,383.03,376.52,381.2,8166200,0.0
2020-07-02,385.56,389.5,383.13,384.49,9101400,0.0
2020-07-06,389.67,396.35,388.5,393.57,7897300,0.0
2020-07-07,397.85,402.8,394.03,394.87,8945000,0.0
2020-07-08,399.75,409.0,398.62,408.64,9137000,0.0
2020-07-09,415.21,422.8,409.34,420.36,12363700,0.0
2020-07-10,423.55,426.21,415.15,419.17,12441900,0.0
2020-07-13,423.8,431.69,401.0,402.09,11426900,0.0
2020-07-14,403.0,416.11,391.42,415.08,13566900,0.0
2020-07-15,416.57,417.32,402.23,409.09,10099600,0.0
2020-07-16,400.6,408.27,395.82,405.39,8624100,0.0
2020-07-17,409.02,409.94,403.51,408.06,6657100,0.0
2020-07-20,410.97,421.25,406.27,420.43,7121300,0.0
2020-07-21,420.52,422.4,411.47,413.14,6941700,0.0
2020-07-22,414.7,424.1,411.66,417.55,9182300,0.0
2020-07-23,418.0,421.88,401.25,405.19,10291500,0.0
2020-07-24,395.0,414.59,391.08,407.78,11832300,0.0
2020-07-27,409.29,417.67,408.71,416.86,7303300,0.0
2020-07-28,414.97,415.28,408.37,408.62,6790900,0.0
2020-07-29,415.63,420.65,413.88,418.62,7112700,0.0
2020-07-30,415.0,424.92,411.81,424.56,7722000,0.0
2020-07-31,422.53,430.66,417.32,424.59,9657200,0.0
2020-08-03,429.3,443.95,428.61,440.41,10318000,0.0
2020-08-04,442.0,449.11,436.24,449.11,7758400,0.0
2020-08-05,449.76,454.87,446.65,451.47,6262500,0.0
2020-08-06,453.99,454.32,447.15,453.42,6107900,0.0
2020-08-07,452.5,460.19,441.5,447.98,8555400,0.0
2020-08-10,453.37,456.33,434.26,446.6,10694900,0.0
2020-08-11,442.95,445.47,431.83,434.0,8862800,0.0
2020-08-12,439.63,458.68,438.33,457.61,11623600,0.0
2020-08-13,461.84,468.87,454.23,457.72,9361500,0.0
2020-08-14,461.2,468.19,457.62,462.56,9160900,0.0
2020-08-17,474.05,496.39,472.69,493.48,15532500,0.0
2020-08-18,498.0,499.84,483.45,490.43,12586200,0.0
2020-08-19,491.86,492.6,483.92,485.54,15565600,0.0
2020-08-20,479.0,495.0,475.15,485.64,23034700,0.0
2020-08-21,488.07,512.35,487.81,507.34,24996700,0.0
2020-08-24,515.35,516.5,500.3,508.81,12264100,0.0
2020-08-25,505.23,510.45,502.95,510.0,7226900,0.0
2020-08-26,511.97,514.74,507.11,510.92,8031100,0.0
2020-08-27,511.26,514.0,502.66,505.13,7940100,0.0
2020-08-28,507.0,525.92,505.7,525.91,13429000,0.0
2020-08-31,527.31,543.0,521.51,534.98,12521000,0.0
2020-09-01,539.2,559.75,537.46,552.84,12811800,0.16
2020-09-02,588.15,589.07,556.0,573.86,21850300,0.0
2020-09-03,553.15,555.38,515.15,520.62,23628200,0.0
2020-09-04,511.35,527.0,468.19,504.9,36592100,0.0
2020-09-08,469.38,502.0,468.17,476.52,19893200,0.0
2020-09-09,496.0,512.37,489.27,508.6,18405000,0.0
2020-09-10,519.57,522.61,486.68,492.47,17467100,0.0
2020-09-11,499.42,506.1,475.83,486.58,15923200,0.0
2020-09-14,523.24,532.6,505.25,514.89,30043600,0.0
2020-09-15,531.2,531.95,513.11,519.64,18188900,0.0
2020-09-16,518.29,523.71,500.55,500.58,13909600,0.0
2020-09-17,485.29,503.59,481.39,498.54,19812800,0.0
2020-09-18,503.75,505.3,479.55,487.57,17461500,0.0
2020-09-21,477.0,500.9,476.18,500.69,18026100,0.0
2020-09-22,503.0,505.92,486.22,505.51,16161300,0.0
2020-09-23,503.02,509.08,483.17,484.95,16175300,0.0
2020-09-24,482.89,502.78,480.56,493.92,18281000,0.0
2020-09-25,497.9,515.34,489.83,514.95,14700400,0.0
2020-09-28,521.61,522.07,510.0,521.4,14345200,0.0
2020-09-29,517.5,537.71,517.33,529.03,15536500,0.0
2020-09-30,526.3,544.9,526.01,541.22,17206100,0.0
2020-10-01,550.32,550.51,538.43,544.58,13125100,0.0
2020-10-02,529.0,540.78,522.04,522.49,13812400,0.0
2020-10-05,529.44,545.77,528.91,545.7,11995500,0.0
2020-10-06,553.2,565.68,546.6,549.46,19610500,0.0
2020-10-07,559.99,564.77,554.54,558.56,10452100,0.0
2020-10-08,563.0,563.38,550.32,553.55,9472500,0.0
2020-10-09,550.68,552.97,546.43,550.51,8672300,0.0
2020-10-12,559.58,573.88,556.5,569.04,10868600,0.0
2020-10-13,571.86,573.94,560.75,569.93,8615100,0.0
