date,Close
2019-07-01,58.6
2019-07-02,58.77
2019-07-03,59.29
2019-07-05,59.41
2019-07-08,59.12
2019-07-09,58.52
2019-07-10,58.42
2019-07-11,58.74
2019-07-12,58.72
2019-07-15,58.65
2019-07-16,58.66
2019-07-17,58.81
2019-07-18,59.09
2019-07-19,58.79
2019-07-22,58.63
2019-07-23,58.79
2019-07-24,58.98
2019-07-25,58.69
2019-07-26,58.67
2019-07-29,58.81
2019-07-30,58.63
2019-07-31,58.44
2019-08-01,57.51
2019-08-02,56.98
2019-08-05,55.88
2019-08-06,56.2
2019-08-07,55.9
2019-08-08,56.7
2019-08-09,56.5
2019-08-12,55.83
2019-08-13,56.33
2019-08-14,54.6
2019-08-15,53.93
2019-08-16,54.63
2019-08-19,54.86
2019-08-20,54.14
2019-08-21,54.51
2019-08-22,54.59
2019-08-23,53.84
2019-08-26,54.23
2019-08-27,53.96
2019-08-28,53.84
2019-08-29,54.1
2019-08-30,54.19
2019-09-03,53.67
2019-09-04,54.19
2019-09-05,54.69
2019-09-06,55.29
2019-09-09,55.59
2019-09-10,56.25
2019-09-11,56.34
2019-09-12,56.54
2019-09-13,56.7
2019-09-16,56.82
2019-09-17,57.15
2019-09-18,57.23
2019-09-19,57.55
2019-09-20,57.68
2019-09-23,57.68
2019-09-24,57.45
2019-09-25,57.32
2019-09-26,57.38
2019-09-27,57.89
2019-09-30,58.26
2019-10-01,56.88
2019-10-02,55.05
2019-10-03,54.92
2019-10-04,55.49
2019-10-07,55.33
2019-10-08,54.87
2019-10-09,54.66
2019-10-10,54.94
2019-10-11,55.88
2019-10-14,56.0
2019-10-15,56.33
2019-10-16,56.27
2019-10-17,56.25
2019-10-18,56.45
2019-10-21,56.81
2019-10-22,57.01
2019-10-23,57.05
2019-10-24,57.23
2019-10-25,57.55
2019-10-28,57.56
2019-10-29,57.44
2019-10-30,57.14
2019-10-31,57.07
2019-11-01,57.35
2019-11-04,57.82
2019-11-05,57.75
2019-11-06,57.84
2019-11-07,57.94
2019-11-08,57.89
2019-11-11,58.0
2019-11-12,57.86
2019-11-13,57.72
2019-11-14,57.63
2019-11-15,58.0
2019-11-18,58.07
2019-11-19,58.01
2019-11-20,57.56
2019-11-21,58.14
2019-11-22,57.96
2019-11-25,58.28
2019-11-26,57.95
2019-11-27,57.89
2019-11-29,57.8
2019-12-02,57.34
2019-12-03,56.95
2019-12-04,57.32
2019-12-05,55.4
2019-12-06,55.35
2019-12-09,55.13
2019-12-10,55.11
2019-12-11,55.25
2019-12-12,55.67
2019-12-13,56.33
2019-12-16,56.61
2019-12-17,56.74
2019-12-18,56.44
2019-12-19,56.08
2019-12-20,56.14
2019-12-23,55.92
2019-12-24,55.88
2019-12-26,55.93
2019-12-27,56.07
2019-12-30,55.98
2019-12-31,56.13
2020-01-02,56.54
2020-01-03,56.49
2020-01-06,56.6
2020-01-07,56.34
2020-01-08,56.67
2020-01-09,55.99
2020-01-10,55.88
2020-01-13,56.03
2020-01-14,55.77
2020-01-15,56.2
2020-01-16,56.7
2020-01-17,56.74
2020-01-21,56.53
2020-01-22,56.42
2020-01-23,56.5
2020-01-24,56.46
2020-01-27,56.08
2020-01-28,56.39
2020-01-29,56.04
2020-01-30,55.92
2020-01-31,55.26
2020-02-03,54.99
2020-02-04,56.04
2020-02-05,56.6
2020-02-06,56.93
2020-02-07,56.98
2020-02-10,56.78
2020-02-11,56.92
2020-02-12,56.84
2020-02-13,56.52
2020-02-14,56.82
2020-02-18,56.82
2020-02-19,57.12
2020-02-20,57.26
2020-02-21,57.31
2020-02-24,56.24
2020-02-25,55.22
2020-02-26,54.96
2020-02-27,52.0
2020-02-28,51.61
2020-03-02,52.2
2020-03-03,50.77
2020-03-04,51.25
2020-03-05,50.12
2020-03-06,48.78
2020-03-09,41.99
2020-03-10,43.85
2020-03-11,42.12
2020-03-12,37.41
2020-03-13,43.42
2020-03-16,39.25
2020-03-17,40.56
2020-03-18,37.94
2020-03-19,37.43
2020-03-20,36.91
2020-03-23,33.83
2020-03-24,38.66
2020-03-25,41.41
2020-03-26,42.85
2020-03-27,40.5
2020-03-30,41.3
2020-03-31,42.39
2020-04-01,40.02
2020-04-02,40.19
2020-04-03,39.44
2020-04-06,41.73
2020-04-07,42.76
2020-04-08,42.82
2020-04-09,43.07
2020-04-13,42.17
2020-04-14,42.25
2020-04-15,40.26
2020-04-16,38.68
2020-04-17,40.54
2020-04-20,40.3
2020-04-21,38.47
2020-04-22,38.67
2020-04-23,38.66
2020-04-24,38.9
2020-04-27,40.43
2020-04-28,41.41
2020-04-29,43.45
2020-04-30,41.77
2020-05-01,40.56
2020-05-04,40.77
2020-05-05,40.5
2020-05-06,40.15
2020-05-07,40.18
2020-05-08,40.96
2020-05-11,41.26
2020-05-12,40.32
2020-05-13,38.85
2020-05-14,39.36
2020-05-15,38.95
2020-05-18,41.57
2020-05-19,40.26
2020-05-20,40.9
2020-05-21,40.29
2020-05-22,39.69
2020-05-26,43.36
2020-05-27,45.43
2020-05-28,43.69
2020-05-29,42.8
2020-06-01,44.25
2020-06-02,44.98
2020-06-03,46.28
2020-06-04,46.25
2020-06-05,48.37
2020-06-08,49.17
2020-06-09,48.41
2020-06-10,47.52
2020-06-11,44.55
2020-06-12,45.9
2020-06-15,45.59
2020-06-16,46.17
2020-06-17,45.61
2020-06-18,45.42
2020-06-19,45.24
2020-06-22,45.39
2020-06-23,45.51
2020-06-24,44.24
2020-06-25,44.74
2020-06-26,43.5
2020-06-29,44.1
2020-06-30,44.61
2020-07-01,44.06
2020-07-02,44.65
2020-07-06,45.23
2020-07-07,44.28
2020-07-08,44.63
2020-07-09,43.23
2020-07-10,44.1
2020-07-13,44.64
2020-07-14,44.74
2020-07-15,45.71
2020-07-16,45.55
2020-07-17,45.39
2020-07-20,45.54
2020-07-21,46.04
2020-07-22,45.87
2020-07-23,45.65
2020-07-24,45.05
2020-07-27,44.93
2020-07-28,44.55
2020-07-29,44.92
2020-07-30,44.52
2020-07-31,44.28
2020-08-03,44.5
2020-08-04,44.7
2020-08-05,45.28
2020-08-06,45.47
2020-08-07,45.77
2020-08-10,46.43
2020-08-11,47.47
2020-08-12,48.25
2020-08-13,48.0
2020-08-14,47.9
2020-08-17,47.69
2020-08-18,47.36
2020-08-19,47.23
2020-08-20,47.2
2020-08-21,47.16
2020-08-24,48.4
2020-08-25,48.97
2020-08-26,50.46
2020-08-27,50.56
2020-08-28,50.2
2020-08-31,49.86
2020-09-01,49.65
2020-09-02,49.77
2020-09-03,48.87
2020-09-04,48.57
2020-09-08,47.64
2020-09-09,48.39
2020-09-10,47.73
2020-09-11,47.99
2020-09-14,48.08
2020-09-15,47.95
2020-09-16,47.49
2020-09-17,47.51
2020-09-18,46.94
2020-09-21,45.68
2020-09-22,45.82
2020-09-23,45.28
2020-09-24,45.6
2020-09-25,45.81
2020-09-28,46.63
2020-09-29,45.96
2020-09-30,46.24
2020-10-01,46.54
2020-10-02,46.94
2020-10-05,47.87
2020-10-06,47.57
2020-10-07,47.74
2020-10-08,47.49
2020-10-09,46.88
2020-10-12,46.93
2020-10-13,46.0
2020-10-14,45.64
2020-10-15,45.85
2020-10-16,45.79
2020-10-19,45.11
2020-10-20,45.12
2020-10-21,45.02
2020-10-22,45.67
2020-10-23,46.06
2020-10-26,45.28
2020-10-27,44.59
2020-10-28,43.43
2020-10-29,44.12
2020-10-30,44.23
2020-11-02,44.59
2020-11-03,45.58
2020-11-04,45.51
2020-11-05,45.55
2020-11-06,45.62
2020-11-09,48.31
2020-11-10,49.36
2020-11-11,49.75
2020-11-12,49.09
2020-11-13,49.39
